date,open,high,low,close,amount,volume,reserve
20101026,3065.84,3073.38,3017.82,3041.54,263036665856.0,218718675,27460059
20101027,3031.65,3056.4,2988.87,2997.05,233282240512.0,200353270,42139893
20101028,2989.29,3007.01,2969.3,2992.58,188158951424.0,163821965,32440719
20101029,2993.3,2996.77,2955.48,2978.83,197660704768.0,169299934,25625071
20101101,2986.89,3054.05,2986.89,3054.02,253939204096.0,212136774,3605328
20101102,3061.63,3089.57,3029.32,3045.43,309231124480.0,247101254,33358213
20101103,3044.02,3069.07,3017.1,3030.99,247261790208.0,212275689,37683526
20101104,3035.37,3087.42,3035.37,3086.94,230744375296.0,196342867,3998547
20101105,3129.87,3142.59,3105.92,3129.5,275354320896.0,227970096,12583616
20101108,3140.4,3160.7,3124.09,3159.51,261671583744.0,223699938,9044729
20101109,3159.02,3159.02,3110.34,3135.0,250331971584.0,210097602,31064493
20101110,3120.44,3124.26,3093.88,3115.36,251614150656.0,204678934,31457696
20101111,3108.51,3186.72,3102.77,3147.74,290302033920.0,235039422,42795255
20101112,3121.92,3150.15,2975.16,2985.43,303388196864.0,275732634,56950821
20101115,2984.87,3016.13,2939.68,3014.41,200616001536.0,182643163,11404000
20101116,3007.64,3007.64,2885.75,2894.54,225428537344.0,202748648,52363380
20101117,2852.48,2891.05,2824.12,2838.86,162051637248.0,150755556,52625511
20101118,2855.61,2873.7,2827.18,2865.45,130717966336.0,128359872,9962209
20101119,2879.65,2888.75,2806.64,2888.57,158924800000.0,151705029,7078671
20101122,2861.61,2904.97,2852.77,2884.37,165210783744.0,149004432,18874962
20101123,2872.17,2872.17,2791.58,2828.28,147786465280.0,138528666,48169138
20101124,2794.86,2861.48,2794.86,2859.94,150474817536.0,138859440,1246086
20101125,2875.86,2901.67,2856.96,2898.26,169509027840.0,150993378,12190415
20101126,2890.29,2894.42,2851.96,2871.7,145357275136.0,124679930,39715117
20101129,2861.15,2878.83,2841.79,2866.36,135520182272.0,115034137,30015922
20101130,2863.41,2881.16,2758.92,2820.18,176139042816.0,164585301,52232318
20101201,2810.54,2834.2,2795.81,2823.45,105726959616.0,93095696,26018285
20101202,2860.46,2870.81,2841.47,2843.61,133725143040.0,115736868,18940492
20101203,2846.72,2853.4,2822.74,2842.43,107496554496.0,96481074,36176217
20101206,2850.38,2871.41,2831.7,2857.18,112639049728.0,103928536,42991854
20101207,2843.77,2884.53,2809.11,2875.86,113049059328.0,101184181,12583603
20101208,2868.73,2880.56,2843.94,2848.55,111757533184.0,99224980,39977246
20101209,2837.61,2854.7,2808.51,2810.95,109956661248.0,104740659,51314819
20101210,2798.74,2850.42,2792.52,2841.04,99589226496.0,92410224,7078686
20101213,2850.33,2923.77,2847.66,2922.95,161839710208.0,144036380,459663
20101214,2928.3,2933.41,2912.42,2927.08,154467745792.0,132789462,16188040
20101215,2927.26,2939.05,2905.65,2911.41,144768040960.0,121115584,37093697
20101216,2908.87,2921.27,2891.86,2898.14,110768857088.0,95086935,35586390
